,receipe,nutricional,ingredients
0,Bakewell peaches,"Each 77g serving contains (excludes serving suggestion)
KCal
64
Carbs
7.4g
Fibre
1.6g
Protein
2.7g
Fat
2.3g
Saturates
0.3g
Sugars
4.6g
Salt
0.11g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
8 raspberries, plus handful to serve
4 medium, fresh peaches or nectarines, halved and stoned
1 egg, beaten
1 tsp almond essence
30g low-fat natural yogurt
30g wholemeal flour
4 tsp granulated sweetener
half tsp baking powder
1 tbsp flaked almonds"
1,Banana bread,"Each 58g serving contains (excludes serving suggestion)
KCal
171
Carbs
20.8g
Fibre
1.7g
Protein
3.8g
Fat
7.7g
Saturates
0.9g
Sugars
11.9g
Salt
0.24g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 large bananas (250g peeled weight)
2 free-range eggs
4 tbsp rapeseed oil
1 tsp vanilla extract
100g soft light-brown sugar
150g wholemeal flour
2 tsp baking powder
1 heaped tsp mixed spice
50g walnuts, roughly chopped (saving a few whole ones to put on top)"
2,Baked mini spinach and onion bhaji with coriander dip  ,"Each 44g serving contains (excludes serving suggestion)
KCal
41
Carbs
5.3g
Fibre
1.5g
Protein
2.2g
Fat
0.9g
Saturates
0.1g
Sugars
1.5g
Salt
0.01g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
baking parchment
400g onions, thinly sliced (peeled weight)
100g gram (chickpea) flour
1-2 tsp curry powder (medium or hot)
2 heaped tbsp low-fat yogurt (100g)
100ml water
1 x 400g can chickpeas, drained and mashed (235g)
250g frozen spinach, defrosted with water squeezed out (150g when water squeezed out)
3 sprays oil
For the dip:
1 clove garlic, crushed
2 spring onions, chopped
50g fresh coriander, roughly chopped
juice half lemon
2 tbsp water"
3,Baked pesto chicken with citrus couscous,"Each 683g serving contains (excludes serving suggestion)
KCal
596
Carbs
60.5g
Fibre
10.9g
Protein
52.7g
Fat
13.5g
Saturates
3.2g
Sugars
15.5g
Salt
0.57g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp olive oil
1 boneless, skinless chicken breast
60g wholewheat couscous
150ml chicken stock
1 red onion, finely chopped (150g)
1 small red pepper, finely chopped (100g)
1 tbsp fresh parsley, chopped
grated zest and juice 1 lemon
1 tbsp pesto sauce
freshly ground black pepper"
4,Baked eggs,"Each 136g serving contains (excludes serving suggestion)
KCal
108
Carbs
1.5g
Fibre
1.5g
Protein
10.2g
Fat
6.5g
Saturates
1.6g
Sugars
1.2g
Salt
0.25g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 leek (160g) thinly sliced
160g mushrooms, sliced
2 tbsp 0% fat Greek-style yogurt
good pinch white pepper
4 eggs"
5,Baked cod with parsley and horseradish crust,"Each 192g serving contains (excludes serving suggestion)
KCal
159
Carbs
9.6g
Fibre
1.9g
Protein
25.2g
Fat
1.8g
Saturates
0.4g
Sugars
1.9g
Salt
0.63g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp creamed horseradish
1 slice granary bread, breadcrumbed
1 tbsp fresh parsley, chopped
2 x 125g chunky pieces cod fillet
freshly ground black pepper
80g rocket"
6,Corn and parmesan mini muffins,"Each 23g serving contains (excludes serving suggestion)
KCal
61
Carbs
7.6g
Fibre
0.8g
Protein
2.5g
Fat
2.1g
Saturates
0.6g
Sugars
0.4g
Salt
0.1g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
250g wholemeal flour
250g fine polenta
1 tbsp baking powder
1 tsp paprika
350ml semi-skimmed milk
75g vegetable oil based spread, melted
2 eggs, beaten
2 tsp fresh rosemary, chopped
2 tbsp fresh Parmesan cheese, grated"
7,Baby baked potatoes with beef and horseradish,"Each 64g serving contains (excludes serving suggestion)
KCal
53
Carbs
8.4g
Fibre
1.0g
Protein
3.0g
Fat
0.6g
Saturates
0.2g
Sugars
1.3g
Salt
0.09g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
12 baby potatoes (approx. 500g)
4 tbsp fat-free fromage frais
2 tbsp horseradish sauce
1 tbsp fresh chives, chopped
2 thin slices cooked roast beef (approx. 50g)
freshly ground black pepper"
8,"Aubergine stuffed with tofu, mushrooms and borlotti beans","Each 351g serving contains (excludes serving suggestion)
KCal
303
Carbs
16.9g
Fibre
20.1g
Protein
25.2g
Fat
10.5g
Saturates
2.6g
Sugars
11.0g
Salt
0.23g
Fruit/Veg Portion
5
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 aubergines, halved lengthways (500g)
1 tsp rapeseed oil
1 onion, finely chopped (120g)
320g mushrooms, sliced
2 cloves garlic, crushed
1 x 400g can chopped tomatoes
1 heaped tsp dried oregano
1 400g tin borlotti beans, drained (240g)
1 x 80g bag fresh spinach
360g pack tofu, diced small
half ball reduced-fat Mozzarella (62g), thinly sliced
1 fresh tomato (80g) chopped small
2 spring onions (50g) chopped
8 fresh basil leaves, torn"
9,Aubergine and courgette Parmesan bake,"Each 448g serving contains (excludes serving suggestion)
KCal
222
Carbs
13.1g
Fibre
8.3g
Protein
14.9g
Fat
10.3g
Saturates
5.1g
Sugars
11.9g
Salt
0.35g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 large aubergines (approx. 700g), cut into 1cm discs
2 large courgettes, cut into 0.5cm strips
1 tbsp olive oil
1 onion, finely chopped
1 red pepper, finely chopped
2–3 cloves garlic, crushed
1 heaped tsp dried oregano
1 x 400g can chopped tomatoes
50g Parmesan cheese, finely grated
120g reduced-fat mozzarella, thinly sliced"
10,Asian salmon fillets,"Each 141g serving contains (excludes serving suggestion)
KCal
293
Carbs
2.6g
Fibre
0.5g
Protein
25.8g
Fat
19.8g
Saturates
3.6g
Sugars
2.6g
Salt
0.4g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
6 pieces skinless salmon fillet (approx. 125g each)
For the marinade:
1 tbsp reduced salt soy sauce
2 tsp sesame oil
pinch chilli flakes
1 tsp fresh ginger, grated
2 tsp runny honey
For the garnish:
1 tbsp fresh chopped coriander
4 spring onions, shredded"
11,"Asparagus, pea and spring onion risotto","Each 493g serving contains (excludes serving suggestion)
KCal
301
Carbs
48.7g
Fibre
5.3g
Protein
10.5g
Fat
6.0g
Saturates
3.2g
Sugars
3.7g
Salt
0.8g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 spring onions, chopped
200g asparagus, chopped into 1.5cm pieces
1 gluten-free vegetable stock cube, dissolved in 900ml water
1 clove garlic, crushed
pinch white pepper
150g Arborio rice
150g frozen peas, defrosted
2 tsp half-fat crème fraiche
10g butter
10g vegetarian style Parmesan cheese, finely grated"
12,Apricot porridge with toasted seeds,"Each 432g serving contains (excludes serving suggestion)
KCal
215
Carbs
31.9g
Fibre
4.9g
Protein
6.2g
Fat
5.8g
Saturates
0.8g
Sugars
14.6g
Salt
0.02g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
50g ready-to-eat dried apricots
150ml orange or apple juice
50g porridge oats
15g chia or linseeds, toasted"
13,Apricot crunch,"Each 102g serving contains (excludes serving suggestion)
KCal
134
Carbs
14.8g
Fibre
1.7g
Protein
3.0g
Fat
6.6g
Saturates
1.9g
Sugars
9.0g
Salt
0.06g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 x 300g tin apricots in fruit juice, drained
grated zest and juice of 1 large orange
For the topping
50g rolled oats
25g flaked almonds
15g butter, melted
1 tbsp sesame seeds
1 tbsp runny honey"
14,Apple Strudel,"Each 118g serving contains (excludes serving suggestion)
KCal
118
Carbs
23.8g
Fibre
1.8g
Protein
2.3g
Fat
1.1g
Saturates
0.2g
Sugars
13.9g
Salt
0.11g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 medium apples, unpeeled, cored and chopped (500g)
2 tbsp water
25g sultanas
25g dried apricots, chopped
1 tsp ground cinnamon
1 tsp almond extract
1 tbsp granulated sweetener
grated zest 1 orange
3 sheets filo pastry
7 squirts spray oil"
15,Apple and cinnamon cake,"Each 159g serving contains (excludes serving suggestion)
KCal
185
Carbs
20.8g
Fibre
2.7g
Protein
5.4g
Fat
8.4g
Saturates
1.7g
Sugars
12.2g
Salt
0.4g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g wholemeal flour
1 heaped tbsp artificial granulated sweetener
1 level tsp ground cinnamon
6g baking powder
3 eggs
3 level tbsp skimmed milk
75g vegetable oil based spread, melted
1kg apples"
16,"Apple, blackberry, oat and seed crumble","Each 152g serving contains (excludes serving suggestion)
KCal
194
Carbs
31.8g
Fibre
5.2g
Protein
5.8g
Fat
3.7g
Saturates
0.6g
Sugars
13.6g
Salt
0.26g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g fresh wholemeal breadcrumbs
50g rolled oats
1 tbsp pumpkin seeds
2 eating apples
150g blackberries
50ml apple juice
1 tbsp runny honey
half-fat crème fraiche or natural yogurt, to serve"
17,Apple Charlotte,"Each 180g serving contains (excludes serving suggestion)
KCal
165
Carbs
27.0g
Fibre
4.0g
Protein
4.5g
Fat
3.4g
Saturates
0.7g
Sugars
15.8g
Salt
0.3g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
3 unpeeled apples, cored and grated
200ml apple juice
2 tsp cinnamon
dash sunflower oil
4–5 slices wholemeal bread, crusts removed
1 egg yolk, lightly beaten"
18,Apple and sultana rock cakes,"Each 68g serving contains (excludes serving suggestion)
KCal
188
Carbs
28.1g
Fibre
3.1g
Protein
4.1g
Fat
5.9g
Saturates
0.5g
Sugars
11.5g
Salt
0.16g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil, for greasing
300g wholemeal flour
1 heaped tsp baking powder
1 tsp cinnamon
1 banana
1 medium egg
50g caster sugar
75ml rapeseed oil
1 tsp vanilla extract
1 apple cored, not peeled and finely chopped
75g sultanas"
19,Apple and cranberry sauce,"Each 53g serving contains (excludes serving suggestion)
KCal
41
Carbs
9.1g
Fibre
0.6g
Protein
0.3g
Fat
0.2g
Saturates
0.1g
Sugars
8.9g
Salt
0.0g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 apples
2 heaped tbsp cranberry sauce
1 tbsp dried cranberries"
20,Apple and raisin chelsea buns,"Each 66g serving contains (excludes serving suggestion)
KCal
156
Carbs
25.7g
Fibre
2.4g
Protein
4.4g
Fat
3.4g
Saturates
0.5g
Sugars
5.9g
Salt
0.04g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
250g wholemeal flour
200g plain flour
20g caster sugar
7g sachet fast-acting yeast
50ml rapeseed oil (reserve 2 tsp to oil bowl and baking sheet)
1 egg, beaten
200ml semi-skimmed milk, warmed to lukewarm (reserve dash to brush buns)
1 tsp honey
For the filling:
2 dessert apples, peeled, cored and roughly chopped
1 tbsp water
2 heaped tsp ground cinnamon
2–3 tsp granulated sweetener
70g raisins"
21,Apple and muesli smoothie,"Each 345g serving contains (excludes serving suggestion)
KCal
296
Carbs
33.5g
Fibre
2.9g
Protein
17.4g
Fat
9.6g
Saturates
5.9g
Sugars
22.5g
Salt
0.3g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 apple, peeled, cored and chopped (100g)
20g no added sugar muesli
125g plain Greek yogurt
100ml semi skimmed milk"
