,receipe,nutricional,ingredients
0,Potato pancakes with mushroom sauce,"Each 436g serving contains (excludes serving suggestion)
KCal
330
Carbs
44.2g
Protein
12.3g
Fat
9.2g
Saturates
1.8g
Sugars
5.2g
Salt
0.9g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
6 medium-sized potatoes, scrubbed
2 eggs
½ tsp salt
your choice of herbs and spices, to taste (we used 1 tbsp freshly chopped parsley plus a good pinch black pepper)
2 tsp oil
2 large onions, chopped
2 cloves garlic, crushed
250g mushrooms, sliced (any type)"
1,Fruity oatbake,"Each 40g serving contains (excludes serving suggestion)
KCal
139
Carbs
18.5g
Protein
4.0g
Fat
5.0g
Saturates
1.2g
Sugars
6.0g
Salt
0.1g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g lower-fat spread
125g porridge oats
120g wholemeal flour
75g pitted prunes, chopped
65g sultanas
1 tsp mixed spice
1 tsp ginger
2 small eggs, beaten
1 -2 tsp granulated sweetener"
2,Courgette enchiladas,"Each 462g serving contains (excludes serving suggestion)
KCal
300
Carbs
13.8g
Protein
30.4g
Fat
12.4g
Saturates
3.7g
Sugars
6.8g
Salt
1.2g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 medium courgettes
1 tsp oil
75g spring onions, chopped
3 cloves garlic, crushed
75g green pepper, chopped
pinch salt and pepper
1 tsp cumin
½ tsp dried oregano
½ tsp chilli powder
1 tbsp tomato paste
2 cooked and shredded chicken breasts (approx. 250g)
1 x 395g jar enchilada sauce
75g reduced-fat Cheddar, grated"
3,Chicken noodles,"Each 360g serving contains (excludes serving suggestion)
KCal
430
Carbs
62.0g
Protein
27.0g
Fat
6.6g
Saturates
1.7g
Sugars
3.8g
Salt
1.4g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
300g dried egg noodles
1 reduced-salt chicken stock cube, dissolved in 500ml water
6 tsp reduced-salt dark soy sauce
100g frozen peas
150g sweetcorn, drained weight
200g cooked chicken, shredded
2 tsp cornflour"
4,"Avocado, banana and cashew toast","Each 110g serving contains (excludes serving suggestion)
KCal
316
Carbs
25.0g
Protein
9.0g
Fat
18.0g
Saturates
3.8g
Sugars
7.4g
Salt
0.4g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
75g cashew nuts
4 slices wholemeal bread
1 large avocado
1 large banana"
5,Baked sea bass and roasted red peppers,"Each 503g serving contains (excludes serving suggestion)
KCal
445
Carbs
37.7g
Fibre
8.0g
Protein
23.6g
Fat
20.5g
Saturates
3.7g
Sugars
9.9g
Salt
0.19g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
600g peeled potatoes, thinly sliced (approx. 1cm)
4 plum tomatoes, skinned and quartered
2 red and 2 orange peppers, deseeded and cut into chunks
8 cloves garlic, each sliced into three
2 red chillies, thinly sliced
4 small sprigs of oregano (or 1 tsp dried)
4tbsp olive oil
4 x90g sea bass, cleaned and trimmed
50g rocket
pinch of black pepper"
6,Yogurt and vanilla panna cotta with summer fruits,"Each 196g serving contains (excludes serving suggestion)
KCal
137
Carbs
17.8g
Fibre
2.6g
Protein
7.0g
Fat
3.7g
Saturates
2.2g
Sugars
17.8g
Salt
0.22g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 gelatine leaves
30g caster sugar
4 tbsp milk
600g natural yogurt
2 tsp vanilla extract
To serve:
200g strawberries, hulled
2 squeezes lemon juice
200g raspberries
100g blueberries"
7,Yakitori chicken,"Each 70g serving contains (excludes serving suggestion)
KCal
70
Carbs
2.1g
Fibre
0.1g
Protein
11.9g
Fat
1.6g
Saturates
0.5g
Sugars
1.9g
Salt
0.62g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tbsp reduced-salt soy sauce
1 tsp sugar free sweetener
half tsp runny honey
1 tsp rice wine
3 boneless, skinless chicken thighs, sliced
2 spring onions, sliced"
8,Witchetty grubs in swamp juice,"Each 172g serving contains (excludes serving suggestion)
KCal
205
Carbs
35.9g
Fibre
3.6g
Protein
7.4g
Fat
2.8g
Saturates
0.5g
Sugars
2.1g
Salt
1.03g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
400g pack fresh potato gnocchi
1 tsp olive oil
2 tsp poppy seeds
100g frozen peas
75g chopped frozen spinach (defrosted with liquid squeezed out)
2 sprigs mint, chopped
100ml skimmed milk"
9,Wholemeal fruit bars,"Each 39g serving contains (excludes serving suggestion)
KCal
117
Carbs
17.3g
Fibre
1.8g
Protein
2.3g
Fat
3.9g
Saturates
0.6g
Sugars
8.2g
Salt
0.07g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
175g raisins
50g sugar
100g vegetable oil spread
1 heaped tsp mixed spice
350g wholegrain plain flour
50g chopped walnuts
50g chopped dates"
10,Wholemeal spinach and cheddar pancakes,"Each 203g serving contains (excludes serving suggestion)
KCal
219
Carbs
24.0g
Fibre
5.3g
Protein
13.0g
Fat
6.7g
Saturates
2.3g
Sugars
6.7g
Salt
0.34g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp sunflower oil
1 large onion, finely chopped
1 egg, beaten
150ml semi-skimmed milk
100g wholemeal flour
200g frozen spinach, defrosted, excess water removed
50g reduced-fat mature cheddar cheese, finely diced
good pinch white pepper
20 cherry tomatoes, quartered
10g fresh basil, chopped
pinch black pepper"
11,"White bean, tuna and lemon salad","Each 383g serving contains (excludes serving suggestion)
KCal
284
Carbs
26.9g
Fibre
11.0g
Protein
34.8g
Fat
1.7g
Saturates
0.2g
Sugars
6.3g
Salt
0.34g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the salad:
400g tin cannellini beans, drained and rinsed
200g tin tuna in water, drained and flaked
2 tomatoes, chopped
quarter cucumber, chopped into chunks
1 small red onion, finely sliced
For the dressing:
grated zest and juice 1 lemon
half tsp Dijon mustard
1 tsp sugar-free sweetener
freshly ground black pepper
lemon wedges and green salad, to serve"
12,Welsh Leek Rarebit,"Each 164g serving contains (excludes serving suggestion)
KCal
235
Carbs
18.3g
Fibre
5.0g
Protein
13.1g
Fat
11.1g
Saturates
4.4g
Sugars
2.8g
Salt
0.98g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 large leek, finely chopped
2 slices wholegrain rye bread
1 medium egg
1 heaped tsp Dijon mustard
30g mature Cheddar cheese, finely grated"
13,White bean and lamb stew,"Each 423g serving contains (excludes serving suggestion)
KCal
340
Carbs
32.6g
Fibre
16.5g
Protein
27.2g
Fat
7.5g
Saturates
2.8g
Sugars
13.4g
Salt
0.37g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
spray olive oil
300g very lean lamb, diced
1 onion, roughly chopped
2 celery stalks, cut into 2cm chunks
2 carrots, peeled and cut into 2cm chunks
2 garlic cloves, sliced
2 sprigs rosemary
1 tbsp Worcestershire sauce
410g tin chopped tomatoes
2 bay leaves
820g tin black-eye beans in water, drained and rinsed
300g savoy cabbage, roughly chopped
ground black pepper"
14,"Watermelon, butterbean and feta salad","Each 179g serving contains (excludes serving suggestion)
KCal
124
Carbs
13.0g
Fibre
4.4g
Protein
6.5g
Fat
4.2g
Saturates
1.7g
Sugars
5.9g
Salt
0.27g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
300g watermelon flesh (with rind removed)
100g rocket
5-6 sprigs mint leaves, torn
2 tsp olive oil
400g tin butter beans, drained
40g feta
juice half lemon
good grind black pepper"
15,"Warm bacon, flageolet bean and watercress salad","Each 186g serving contains (excludes serving suggestion)
KCal
163
Carbs
11.5g
Fibre
4.0g
Protein
9.7g
Fat
7.8g
Saturates
2.6g
Sugars
4.3g
Salt
0.77g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 red pepper, halved and deseeded
2–3 slices lean smoked back bacon
420g tin flageolet beans
60g bag watercress
60g bag rocket leaves
100g cherry tomatoes, quartered
For the dressing:
1 tbsp olive oil
2 tbsp balsamic vineger
20g Parmesan cheese shavings"
16,Warm exotic fruit salad,"Each 208g serving contains (excludes serving suggestion)
KCal
112
Carbs
24.2g
Fibre
3.9g
Protein
0.9g
Fat
0.4g
Saturates
0.0g
Sugars
23.5g
Salt
0.02g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 cardamom pods, crushed
1 tbsp fresh mint, chopped
1 piece preserved stem ginger from a jar, finely chopped, plus 2 tbsp of the syrup
1 pineapple, prepared and cut into chunks (prepared weight 500g)
1 papaya, peeled seeded and cut into chunks
1 kiwi fruit, sliced"
17,Warm lentil and goats cheese salad,"Each 138g serving contains (excludes serving suggestion)
KCal
154
Carbs
9.8g
Fibre
4.2g
Protein
8.4g
Fat
8.1g
Saturates
3.8g
Sugars
2.5g
Salt
0.31g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 red peppers, halved and deseeded
2 tbsp olive oil
2 tbsp fresh oregano, chopped (or 1 tsp dried)
1 bunch spring onions, sliced
800g tin green lentils, drained and rinsed
1 tbsp wine/cider vinegar
1 clove garlic, crushed
150g goat's cheese, crumbled
1 tsp chopped fresh parsley"
18,Virgin mojito,"Each 207g serving contains (excludes serving suggestion)
KCal
5
Carbs
0.9g
Fibre
0.0g
Protein
0.3g
Fat
0.1g
Saturates
0.0g
Sugars
0.1g
Salt
0.0g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
16 large fresh mint leaves, plus 4 sprigs to serve
2 fresh limes, washed and cut into small chunks
4 tsp granulated artificial sweetener (add more if desired)
750ml sparkling water
12 ice cubes
1 fresh lime, sliced or cut into wedges, to serve"
19,Vietnamese crunchy peanut salad,"Each 294g serving contains (excludes serving suggestion)
KCal
459
Carbs
62.2g
Fibre
8.0g
Protein
18.0g
Fat
13.6g
Saturates
2.2g
Sugars
9.2g
Salt
1.3g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
150g dried egg noodles
2 tsp toasted sesame oil
1 tsp rapeseed oil
1 red pepper, chopped into matchsticks
4cm fresh ginger root, finely chopped
quarter small red chilli, finely chopped (optional)
4 spring onions, trimmed and chopped
150g bean sprouts
handful coriander leaves, freshly chopped
5cm cucumber, chopped into small chunks
juice half lime
30g natural, unsalted peanuts, roughly chopped
2 tsp reduced-salt soy sauce, if desired"
20,Vietnamese beef salad,"Each 255g serving contains (excludes serving suggestion)
KCal
169
Carbs
16.1g
Fibre
3.6g
Protein
16.8g
Fat
3.3g
Saturates
1.1g
Sugars
4.8g
Salt
3.1g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
350g lean beef, cut into strips
half tsp chilli flakes
2 cloves garlic, crushed
4cm fresh ginger, finely chopped
1 red pepper, sliced
150g baby sweetcorn, halved lengthways
300g beansprouts
6 spring onions, sliced into 1cm pieces
For the dressing
10cm-piece cucumber, finely chopped
25g coriander, roughly chopped
Juice 1 lime
2 tsp reduced-salt soy sauce
300g pre-cooked, fresh rice noodles"
21,Very berry porridge,"Each 256g serving contains (excludes serving suggestion)
KCal
348
Carbs
46.7g
Fibre
7.9g
Protein
12.8g
Fat
10.4g
Saturates
1.3g
Sugars
12.9g
Salt
0.12g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
50g rolled oats
6 strawberries, sliced
6 raspberries
15 blueberries
100ml skimmed milk
2 tsp toasted flaked almonds"
22,Vermicelli pudding,"Each 187g serving contains (excludes serving suggestion)
KCal
190
Carbs
23.8g
Fibre
0.6g
Protein
10.1g
Fat
6.0g
Saturates
2.5g
Sugars
9.5g
Salt
0.22g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
125g fine vermicelli
1.2L semi-skimmed milk
2 cardamom pods
artificial sweetener, to taste
2 tbsp pistachio nuts, roughly chopped"
23,Venison and cranberry casserole,"Each 229g serving contains (excludes serving suggestion)
KCal
265
Carbs
18.6g
Fibre
1.4g
Protein
34.2g
Fat
4.8g
Saturates
1.3g
Sugars
10.6g
Salt
0.3g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
50g pack dried cranberries
3 tbsp port
3 tbsp cornflour
pinch ground allspice
1 tsp ground ginger
freshly ground black pepper
900g venison steak, cubed
1 tbsp rapeseed oil
1 cinnamon stick
18 button onions, peeled
zest and juice 1 orange
2 tbsp cranberry sauce
450ml low-salt beef/vegetable stock"
