,receipe,nutricional,ingredients
0,Roast cod with creamy mushroom lentils,"Each 510g serving contains (excludes serving suggestion)
KCal
305
Carbs
25.9g
Fibre
7.9g
Protein
37.2g
Fat
4.0g
Saturates
0.5g
Sugars
5.9g
Salt
0.55g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 red onion, chopped
100g mushrooms, cut into wedges
1 heaped tsp plain flour
1 low-salt fish stock cube, dissolved in 300ml water
1 400g can lentils, drained
1 tbsp 0% fat Greek yogurt
2 cod steaks (approx. 150g each)
1 tsp chopped parsley
good grind black pepper"
1,Roast chicken,"Each 181g serving contains (excludes serving suggestion)
KCal
209
Carbs
0.3g
Fibre
0.4g
Protein
37.1g
Fat
6.5g
Saturates
1.8g
Sugars
0.2g
Salt
0.33g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2kg whole chicken
1 lemon, halved
good handful fresh herbs (rosemary and thyme are ideal)
freshly ground black pepper
300ml boiling water"
2,Roast butternut squash and red lentil soup,"Each 437g serving contains (excludes serving suggestion)
KCal
272
Carbs
35.5g
Fibre
7.6g
Protein
10.1g
Fat
8.2g
Saturates
4.3g
Sugars
12.8g
Salt
0.08g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 butternut squash (approx 700g–1kg)
2 tsp sunflower oil
1 large onion, roughly chopped
1 carrot, roughly chopped
1 litre vegetable or chicken stock
120g split red lentils
white pepper, to taste
4 tbsp half-fat creme fraiche
Fresh chives, chopped"
3,Rich fruit cake,"Each 97g serving contains (excludes serving suggestion)
KCal
184
Carbs
25.2g
Fibre
2.5g
Protein
4.1g
Fat
6.9g
Saturates
0.7g
Sugars
14.3g
Salt
0.18g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
75g sultanas
100g raisins
25g candied peel
100ml boiling water
1 banana, mashed
2 eggs, beaten
75ml rapeseed oil
1 courgette, grated
1 apple, grated
1 carrot, finely grated
150g wholemeal flour
1 tsp baking powder
3 tsp mixed spice
6 glacé cherries, halved
20g whole, blanched almonds"
4,Rice and beans,"Each 239g serving contains (excludes serving suggestion)
KCal
314
Carbs
57.3g
Fibre
6.0g
Protein
8.7g
Fat
4.3g
Saturates
2.6g
Sugars
1.8g
Salt
0.12g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
400g kidney beans
450ml low-salt vegetable stock
150ml half-fat coconut milk
1 tsp fresh thyme, chopped
3 spring onions, sliced
1 green chilli, finely chopped
225g long grain rice
freshly ground black pepper"
5,Rhubarb fool,"Each 117g serving contains (excludes serving suggestion)
KCal
51
Carbs
2.8g
Fibre
1.2g
Protein
3.6g
Fat
2.6g
Saturates
1.7g
Sugars
2.0g
Salt
0.04g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
400g rhubarb, cut in 1cm chunks
artificial sweetener to taste (equivalent to 8 tsp sugar, such as 8 stevia tablets, crushed)
150g 0% fat Greek yogurt
100g reduced-fat crème fraiche"
6,Rhubarb and ginger sponge,"Each 154g serving contains (excludes serving suggestion)
KCal
157
Carbs
13.8g
Fibre
3.3g
Protein
6.2g
Fat
7.8g
Saturates
1.0g
Sugars
2.0g
Salt
0.31g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
500g chopped rhubarb
2 tbsp water
2 tbsp granulated sweetener
2 eggs, beaten
2 tbsp low-fat yoghurt
3 tbsp rapeseed oil
100g wholemeal flour
1 heaped tsp ground ginger
1 tsp baking powder
100ml skimmed milk"
7,Red lentil soup,"Each 304g serving contains (excludes serving suggestion)
KCal
253
Carbs
36.8g
Fibre
6.5g
Protein
13.5g
Fat
4.3g
Saturates
1.7g
Sugars
8.1g
Salt
0.37g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g red lentils
1 small onion, chopped
1 carrot, chopped
1 clove garlic, crushed
600ml low-salt vegetable stock
2 tbsp light crème fraîche
1 tbsp fresh parsley, chopped
freshly ground black pepper
bread, to serve"
8,Raspberry shortbread mess,"Each 170g serving contains (excludes serving suggestion)
KCal
170
Carbs
17.5g
Fibre
2.9g
Protein
9.9g
Fat
5.9g
Saturates
3.5g
Sugars
9.0g
Salt
0.23g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
150g raspberries
1tsp sugar free sweetener
2 shortbread fingers (39g total weight)
150g 0% Greek yogurt"
9,Raspberry fruit spread,"Each 37g serving contains (excludes serving suggestion)
KCal
12
Carbs
1.0g
Fibre
0.5g
Protein
1.5g
Fat
0.0g
Saturates
0.0g
Sugars
0.7g
Salt
0.0g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200ml water
1 sachet sugar-free raspberry jelly crystals
3 tsp granulated sweetener
150g frozen raspberries"
