,receipe,nutricional,ingredients
0,Harissa tomato tarts,"['Each 310g serving contains (excludes serving suggestion)', 'KCal', '260', 'Carbs', '48.1g', 'Fibre', '2.8g', 'Protein', '14.4g', 'Fat', '2.5g', 'Saturates', '0.4g', 'Sugars', '10.4g', 'Salt', '0.67g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
180g 0% fat natural Greek yogurt, plus 4tbsp to serve
180g self-raising flour, plus 2tsp for dusting
1/2 small red onion, thinly sliced
4 tomatoes, thickly sliced
4tsp harissa paste
2tsp red wine vinegar
1tsp olive oil
1tbsp chopped fresh flat-leaf parsley
Rocket, to serve"
1,Aubergine and chickpea curry,"['Each 568g serving contains (excludes serving suggestion)', 'KCal', '433', 'Carbs', '63.0g', 'Fibre', '14.0g', 'Protein', '18.0g', 'Fat', '7.5g', 'Saturates', '1.2g', 'Sugars', '16.0g', 'Salt', '0.92g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
Calorie-controlled cooking spray
1 red onion, finely sliced
3 garlic cloves, crushed
1tbsp grated fresh ginger
1/2tbsp ground coriander
3 cardamom pods, crushed
1 star anise
1tbsp tomato purée
2 aubergines, cut into 3cm chunks
500g passata
300ml veg stock, made with 1/2 reduced salt stock cube
2 x 400g tins chickpeas, drained and rinsed
50g fat-free natural yogurt, plus 2tbsp to serve
Finely grated zest and juice of half a lime, plus wedges to serve
2tbsp finely chopped fresh coriander, plus extra to serve
2 x 250g pouches microwave brown basmati rice"
2,Steak & pepper quesadillas,"['Each 220g serving contains (excludes serving suggestion)', 'KCal', '246', 'Carbs', '28.0g', 'Fibre', '5.1g', 'Protein', '18.0g', 'Fat', '6.0g', 'Saturates', '2.9g', 'Sugars', '6.9g', 'Salt', '0.6g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
Calorie-controlled cooking spray
175g lean, thin-cut steak
1 red & 1 yellow pepper, deseeded and sliced
1 red onion, sliced
1 garlic clove, finely chopped
1/2tsp dried chilli flakes
50g half-fat Cheddar, grated
Handful fresh coriander leaves
4 WW Wraps*"
3,Sausage & bacon omelette,"['Each 375g serving contains (excludes serving suggestion)', 'KCal', '345', 'Carbs', '13.1g', 'Fibre', '2.4g', 'Protein', '39.3g', 'Fat', '15.2g', 'Saturates', '4.4g', 'Sugars', '9.9g', 'Salt', '2.7g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
Calorie-controlled cooking spray
2 lean chicken sausages
2 lean bacon medallions
75g cherry tomatoes, halved
Handful rocket leaves
1 tsp lemon juice
2 eggs
50ml skimmed milk
1 tbsp spicy tomato chutney"
4,2-ingredient pancakes ,"['Each 427g serving contains (excludes serving suggestion)', 'KCal', '343', 'Carbs', '57.7g', 'Fibre', '4.7g', 'Protein', '17.8g', 'Fat', '5.9g', 'Saturates', '1.6g', 'Sugars', '52.5g', 'Salt', '0.4g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
2 bananas, mashed
1 egg, lightly beaten
Calorie-controlled cooking spray
2 tbsp 0% fat natural Greek yogurt and fresh berries to serve
1 tsp agave syrup (optional)"
5,Mini bagels with smoked salmon spread,"['Each 177g serving contains (excludes serving suggestion)', 'KCal', '332', 'Carbs', '46.0g', 'Fibre', '3.2g', 'Protein', '21.7g', 'Fat', '6.2g', 'Saturates', '1.7g', 'Sugars', '6.2g', 'Salt', '2.4g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
50g low-fat soft cheese
Zest and juice of 1/2 lemon
2 tsp capers, rinsed and roughly chopped
Small handful of fresh parsley, chopped
A few fresh chives, finely snipped
80g smoked salmon, roughly chopped
4 mini bagels"
6,Apple & cranberry bircher muesli,"['Each 230g serving contains (excludes serving suggestion)', 'KCal', '289', 'Carbs', '50.5g', 'Fibre', '6.0g', 'Protein', '8.0g', 'Fat', '6.9g', 'Saturates', '1.1g', 'Sugars', '27.3g', 'Salt', '0.08g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
120g porridge oats
150g fat-free natural yogurt
3 apples, peeled, cored and grated
1 tbsp sunflower seeds
1 tbsp pumpkin seeds
40g dried cranberries
3 tsp chia seeds and 1 apples, cored and diced, to serve"
7,Tropical fruit & wine ice lollies,"['Each 87g serving contains (excludes serving suggestion)', 'KCal', '34', 'Carbs', '3.1g', 'Fibre', '0.6g', 'Protein', '0.2g', 'Fat', '0.08g', 'Saturates', '0.0g', 'Sugars', '2.7g', 'Salt', '0.01g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
100ml dry white wine*
150ml diet lemonade
100g frozen tropical smoothie mix"
8,Prawn & dill open sandwich,"['Each 230g serving contains (excludes serving suggestion)', 'KCal', '201', 'Carbs', '22.0g', 'Fibre', '2.3g', 'Protein', '21.0g', 'Fat', '2.7g', 'Saturates', '1.0g', 'Sugars', '4.9g', 'Salt', '1.7g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
1 brown sandwich thin, halved
80g reduced-fat natural cottage cheese
1 sprig fresh dill
1 splash Tabasco sauce (optional)
30g cucumber, thinly sliced
50g cooked and peeled king prawns"
9,Tuna Niçoise salad,"['Each 275g serving contains (excludes serving suggestion)', 'KCal', '221', 'Carbs', '20.0g', 'Fibre', '4.7g', 'Protein', '19.0g', 'Fat', '6.3g', 'Saturates', '0.9g', 'Sugars', '3.5g', 'Salt', '1.0g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
450g new potatoes, halved or larger ones quartered
200g fine green beans, trimmed
1 small round lettuce, leaves separated
2 x 160g tins tuna in spring water, drained and flaked
8 Kalamata olives, pitted and halved
For the dressing:
1tsp Dijon mustard
5tsp cider vinegar
1tbsp extra-virgin olive oil
1/2tsp English mustard powder
1/2 small garlic clove, crushed
1/4tsp herbes de Provence"
